item_id,post_url,post_uri,post_cid,author_handle,author_did,post_datetime,text,post_type,parent_post_uri,root_post_uri,language,like_count,repost_count,reply_count,quote_count,collector,collection_datetime,search_term_or_method_that_surfaced_it,Has_image,detected_language,engagement_as_of_datetime,enrichment_status,Has_relevant_replies,Seems_relevant_to_collector,source_item_id,snowball_depth,snowball_edge_type,engagement_score,sample_source
158,https://bsky.app/profile/bridiemac.bsky.social/post/3mfgcssr7vk2i,at://did:plc:fsvr2zlnposkzd32fspa7zyk/app.bsky.feed.post/3mfgcssr7vk2i,bafyreieacq3avhpapoz4ueggkjkbkhjjrqgcydg2vukthkwsllbmho3pke,bridiemac.bsky.social,did:plc:fsvr2zlnposkzd32fspa7zyk,2026-02-22T04:36:10.374Z,@stechlab-labels.bsky.social,reply,at://did:plc:w5gusml46pbi7f53boql7nct/app.bsky.feed.post/3mffp4jfsys2a,at://did:plc:w5gusml46pbi7f53boql7nct/app.bsky.feed.post/3mfbi5unpg22p,en,0,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,unknown,2026-06-26T14:06:34.776511+00:00,ok,,,,,,0.0,keyword_stratified
423,https://bsky.app/profile/crissakentavr.bsky.social/post/3mmcw4pshqc2i,at://did:plc:jbwxai6k52bd2jl7i6k3knsx/app.bsky.feed.post/3mmcw4pshqc2i,bafyreickjqyn47ssqgv6v5ynamteonp5ej66vwqphye5m2oqdbkskiyx2u,crissakentavr.bsky.social,did:plc:jbwxai6k52bd2jl7i6k3knsx,2026-05-20T22:07:26.349Z,"Exactly!  50 is like, two warning labels up on bsky.app/profile/stec...",reply,at://did:plc:xysfnyw4ziozad7mwuiuhr7e/app.bsky.feed.post/3mm5aukiwk22y,at://did:plc:vi2grzfali5xn5rh2ny2n4d4/app.bsky.feed.post/3mm5ajdhy2k2e,en,1,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,bsky.app/profile/stec,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,1.0,keyword_stratified
884,https://bsky.app/profile/hatulimyafim.bsky.social/post/3mhdcyg566c2p,at://did:plc:7do666wck4jijte2xofvwobl/app.bsky.feed.post/3mhdcyg566c2p,bafyreih43sxstmwhaaqmtbgolev3p2wcexjrp4ybdgmh33vkjpykzv2nua,hatulimyafim.bsky.social,did:plc:7do666wck4jijte2xofvwobl,2026-03-18T10:51:42.502Z,"Nothing makes me feel more ashamed about my social media use than the ""No break greater than 4 hours yesterday"" label.",post,,,en,0,0,1,0,keyword search,2026-06-26T14:05:00.228985+00:00,no break greater than,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,0.0,keyword_stratified
949,https://bsky.app/profile/ilikeyoshi.bsky.social/post/3mdmtbbf7ls2b,at://did:plc:e4skjdht5yqo44ncvz2gf7yj/app.bsky.feed.post/3mdmtbbf7ls2b,bafyreieuzycdjlvvrlo4kunjxcgnjomzvxvitlk7kgexuep7iizjnvnnhq,ilikeyoshi.bsky.social,did:plc:e4skjdht5yqo44ncvz2gf7yj,2026-01-30T07:56:10.516Z,"i subscribed to a labeller thats run by a couple ppl doing i think some kinda research mainly for bot activity or ""botlike"" activity and it labels accounts based on things like ""posted more than x times yesterday"" or ""changed profile more than x times this month"" and originally i downloaded it",post,,,en,1,0,1,0,keyword search,2026-06-26T14:05:00.228985+00:00,changed profile more than,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,1.0,keyword_stratified
353,https://bsky.app/profile/3r1ng.bsky.social/post/3m4svlpuba22i,at://did:plc:6jivfqx4v7zep7uuhjxl6not/app.bsky.feed.post/3m4svlpuba22i,bafyreif2uufm5zmgosd6o4oqdaycw6hkznejodz3osgx3f4rsvxrydbhcy,3r1ng.bsky.social,did:plc:6jivfqx4v7zep7uuhjxl6not,2025-11-04T15:57:25.745Z,This labeler is great: @stechlab-labels.bsky.social it labels some signals that can be associated with inauthentic / automated activity. Although the accounts I see with these labels are usually media outlets/news accounts (not the aggressive unfollowing-that’s a growth hack),post,,,en,11,3,1,1,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,True,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,29.0,high_engagement
629,https://bsky.app/profile/drvon2.bsky.social/post/3m7vpucyvrk22,at://did:plc:dgz4boqf66gnmcgs57frjkwc/app.bsky.feed.post/3m7vpucyvrk22,bafyreift6vn2fdeu7uyivkvqzuld27duypylwsq7fhiltkdugk2wfd2cd4,drvon2.bsky.social,did:plc:dgz4boqf66gnmcgs57frjkwc,2025-12-13T23:08:25.907Z,"Try this labeler.

bsky.app/profile/stec...",reply,at://did:plc:batsswaxvws26rr3gf7wvm7k/app.bsky.feed.post/3m7vp5mdifk2z,at://did:plc:batsswaxvws26rr3gf7wvm7k/app.bsky.feed.post/3m7vp5mdifk2z,en,13,5,3,2,official mention,2026-06-26T14:05:00.228985+00:00,bsky.app/profile/stec,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,44.0,high_engagement
254,https://bsky.app/profile/dr-squiddy.bsky.social/post/3magh5o3zd22t,at://did:plc:mscve5shwpb5cp2may5posmm/app.bsky.feed.post/3magh5o3zd22t,bafyreibubzjevrsffr6fn5okrqtlvhbadep42gls35xgrfiqj646l3bote,dr-squiddy.bsky.social,did:plc:mscve5shwpb5cp2may5posmm,2025-12-20T14:47:51.412Z,"I subscribed to @stechlab-labels.bsky.social a few days ago and it has been fascinating to see what's behind some of the stuff that's appeared in my feed. 

It's given me cause to stop and think before sharing daft little things I would just have happily clicked on before. Recommended.",post,,,en,1,0,1,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,1.0,keyword_stratified
773,https://bsky.app/profile/akhilrao.bsky.social/post/3mjwhrkrmjk2r,at://did:plc:oj4enpdo6uuuikvs73cqvwdm/app.bsky.feed.post/3mjwhrkrmjk2r,bafyreieyubqstqyhoz6haphtbla536oe6i3j3x62vper5gghvazkyymjci,akhilrao.bsky.social,did:plc:oj4enpdo6uuuikvs73cqvwdm,2026-04-20T12:28:19.479Z,"combat posting with someone with a posts a lot label? not today satan, I have things to do",post,,,en,26,0,3,0,keyword search,2026-06-26T14:05:00.228985+00:00,posts a lot label,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,26.0,high_engagement
300,https://bsky.app/profile/aerifiretruck.bsky.social/post/3m6i2py37wc2v,at://did:plc:ezyohmtfftcofou4vszbtged/app.bsky.feed.post/3m6i2py37wc2v,bafyreig5lzmdji6jkob4etdks7os4nzuq6z24pxq2galkxhkwgvnzgk5am,aerifiretruck.bsky.social,did:plc:ezyohmtfftcofou4vszbtged,2025-11-25T19:20:23.427Z,One of my favorite labellers recently is @stechlab-labels.bsky.social. I have most of them turned off but Unfollowed 500+ yesterday is super helpful for spotting f4f accounts if it's not obvious already,post,,,en,8,2,3,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,18.0,high_engagement
12,https://bsky.app/profile/kissane.myatproto.social/post/3mogxtmbvfs2l,at://did:plc:qrt5rykojeg5sbsajbu4zdke/app.bsky.feed.post/3mogxtmbvfs2l,bafyreifo6h5672xtbdyzvsnrf7ovdyrivqav7jwqgksnjqdukdb2f3575y,kissane.myatproto.social,did:plc:qrt5rykojeg5sbsajbu4zdke,2026-06-16T23:39:10.361Z,"Anyway! If a stranger pops into your replies and weirdly restates your post with a gooey lil semi-insight, it might be a human but probably not. 

@stechlab-labels.bsky.social labelers are like They Live goggles for spotting dumb automation, highest recommend.",quote,,,en,55,12,2,1,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,118.0,high_engagement
796,https://bsky.app/profile/freedom2b.cryptoanarchy.network/post/3mfch5lyeuc2t,at://did:plc:utqxrdib4tk6yjhderqhw44a/app.bsky.feed.post/3mfch5lyeuc2t,bafyreigyyzkzupstbedlj2izha6mrvmtwdnluqz2ckoc5uzdcdz3xpzm74,freedom2b.cryptoanarchy.network,did:plc:utqxrdib4tk6yjhderqhw44a,2026-02-20T15:43:08.381Z,"__Yesterday__
weather: *tornadoes*

__Today__
BlueSky: ""this one posted more than 50 times yesterday""",post,,,en,0,0,0,0,keyword search,2026-06-26T14:05:00.228985+00:00,posted more than 50 times yesterday,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,0.0,keyword_stratified
874,https://bsky.app/profile/rarf.zone/post/3mjwq7kgpbc2f,at://did:plc:cd6rtyhwlj6fakjuvx33r3z6/app.bsky.feed.post/3mjwq7kgpbc2f,bafyreicxmyir4kkyusod4m5rtvyj4u3nybs57kffpmk5qlu32lyzcnxi6u,rarf.zone,did:plc:cd6rtyhwlj6fakjuvx33r3z6,2026-04-20T14:59:18.817Z,"Ah, I got the Coveted™ ""no break greater than 4 hours"" yesterday. 

…

I think it was worth it, though!!",post,,,en,3,0,0,0,keyword search,2026-06-26T14:05:00.228985+00:00,no break greater than,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,3.0,keyword_stratified
601,https://bsky.app/profile/danhon.com/post/3mbfwfssqds2t,at://did:plc:okcllivvkleedwsmroggepzd/app.bsky.feed.post/3mbfwfssqds2t,bafyreibl5zxld27bzgfruyjrj3a5y3xzi4uu576gqmxjsfigtt2tgi54vy,danhon.com,did:plc:okcllivvkleedwsmroggepzd,2026-01-02T03:13:22.804Z,Oh wait I'm already using it bsky.app/profile/stec...,reply,at://did:plc:okcllivvkleedwsmroggepzd/app.bsky.feed.post/3mbfwdxtvgs2t,at://did:plc:okcllivvkleedwsmroggepzd/app.bsky.feed.post/3mbfwdxtvgs2t,en,9,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,bsky.app/profile/stec,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,9.0,keyword_stratified
818,https://bsky.app/profile/rahaeli.bsky.social/post/3m4mmudl2ws2j,at://did:plc:ocsbmyulc2grbq3esflddyj6/app.bsky.feed.post/3m4mmudl2ws2j,bafyreifkdtiltptovqfk2hrfslfh2xd2hhotzbvpssu3hkddsnmi5ozgne,rahaeli.bsky.social,did:plc:ocsbmyulc2grbq3esflddyj6,2025-11-02T04:05:12.751Z,"It's also funny to see how many of my moots (me included) have the ""posted more than 50 times yesterday"", lol",reply,at://did:plc:zvh6ufheu6mwvbdh57xfuh4c/app.bsky.feed.post/3m4mmsw3xhk22,at://did:plc:ocsbmyulc2grbq3esflddyj6/app.bsky.feed.post/3m4mmnz6tok2q,en,39,0,8,0,keyword search,2026-06-26T14:05:00.228985+00:00,posted more than 50 times yesterday,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,39.0,keyword_stratified
653,https://bsky.app/profile/vioarmitage.darkestalleygang.lol/post/3m6oasrp76226,at://did:plc:e4s76bdchewwoncgpp7euh7k/app.bsky.feed.post/3m6oasrp76226,bafyreicxn4glwxenzzlu3nr3pcfvx4hehyg26655ophxfvscwe5gvzbzau,vioarmitage.darkestalleygang.lol,did:plc:e4s76bdchewwoncgpp7euh7k,2025-11-28T06:25:18.288Z,bsky.app/profile/stec...,reply,at://did:plc:skjqm65g4jzvuulsdxygyl3t/app.bsky.feed.post/3m6oaqfzf4k2n,at://did:plc:kjukqektupc3u4vfkq5ulaks/app.bsky.feed.post/3m6kju6bguk2c,en,0,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,bsky.app/profile/stec,False,unknown,2026-06-26T14:06:34.776511+00:00,ok,,,,,,0.0,keyword_stratified
728,https://bsky.app/profile/demarko.org/post/3m4iorgzq322q,at://did:plc:rrkr5yvwfzgobtvbxz6g6gnf/app.bsky.feed.post/3m4iorgzq322q,bafyreig36gntgrf2xlggsijmz5hvgwsjawjzicf7obmq2rcvutiu3qvdny,demarko.org,did:plc:rrkr5yvwfzgobtvbxz6g6gnf,2025-10-31T14:28:44.244Z,This is a fascinating labeler bsky.app/profile/stec...,post,,,en,16,2,0,4,official mention,2026-06-26T14:05:00.228985+00:00,bsky.app/profile/stec,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,38.0,high_engagement
85,https://bsky.app/profile/djsleeve.bsky.social/post/3mj6zgxurek2j,at://did:plc:awxlgwdqnsokshe7hm7aevls/app.bsky.feed.post/3mj6zgxurek2j,bafyreigba57hvpqjahxexdt6vfjbgp5a6hf6epwbmh4w6twyg6njgt6egu,djsleeve.bsky.social,did:plc:awxlgwdqnsokshe7hm7aevls,2026-04-11T04:40:37.747Z,@stechlab-labels.bsky.social,reply,at://did:plc:awxlgwdqnsokshe7hm7aevls/app.bsky.feed.post/3mj6zgcsryc2j,at://did:plc:awxlgwdqnsokshe7hm7aevls/app.bsky.feed.post/3mj6zgcsryc2j,en,0,0,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,unknown,2026-06-26T14:06:34.776511+00:00,ok,,,,,,0.0,keyword_stratified
733,https://bsky.app/profile/rigakuoxfordxrd.bsky.social/post/3lyuf2ovyes2r,at://did:plc:5aue2ct6lohneo4rbjm4sf7v/app.bsky.feed.post/3lyuf2ovyes2r,bafyreif4yfk6gocaqnlour3cclh6shjntiqolcgfyudkwidclqbxiqczo4,rigakuoxfordxrd.bsky.social,did:plc:5aue2ct6lohneo4rbjm4sf7v,2025-09-15T08:26:07.430Z,"Congratulations our social media competition winner: lnkd.in/eqNhAwxb by Kinan Al-Namourah who got the most likes (107).

Honorable mentions to Diane Dickie in 2nd (90 likes) lnkd.in/etQHucAr
...and @stecanossa.bsky.social in 3rd (69 aggregated likes) bsky.app/profile/stec...

#ROD10atECM #ECM35",quote,,,en,7,1,0,0,official mention,2026-06-26T14:05:00.228985+00:00,bsky.app/profile/stec,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,12.0,keyword_stratified
714,https://bsky.app/profile/iedamarcondes.com/post/3m4q6cjbauc2f,at://did:plc:iebzj2c3y57wjzf775pvuzo2/app.bsky.feed.post/3m4q6cjbauc2f,bafyreie32bvlsq5ez5egbzn5bjktzelbmyhhv7v3b2v37tzelcytos5yea,iedamarcondes.com,did:plc:iebzj2c3y57wjzf775pvuzo2,2025-11-03T13:55:21.310Z,"Não conhecia este rotulador. Ele serve pra informar quando uma conta tem atividade suspeita (alterações no perfil várias vezes no mesmo dia, publica mais de 100 posts num único dia etc).
bsky.app/profile/stec...",post,,,en,12,6,0,0,official mention,2026-06-26T14:05:00.228985+00:00,bsky.app/profile/stec,False,pt,2026-06-26T14:06:34.776511+00:00,ok,,,,,,42.0,high_engagement
906,https://bsky.app/profile/pisscauldron.bsky.social/post/3mdnaegde522v,at://did:plc:nwmuogkq6sevqyl7hud2tx3y/app.bsky.feed.post/3mdnaegde522v,bafyreiesrwvoesy4vdowbiseobx4wp6m7so5ev4s4tygfqp6gafs36bttq,pisscauldron.bsky.social,did:plc:nwmuogkq6sevqyl7hud2tx3y,2026-01-30T11:50:35.005Z,"wow no break greater than 4 hours yesterday 

did genghis khan take a break?",reply,at://did:plc:nwmuogkq6sevqyl7hud2tx3y/app.bsky.feed.post/3mdn7dokch22v,at://did:plc:nwmuogkq6sevqyl7hud2tx3y/app.bsky.feed.post/3mdn7dokch22v,en,2,0,1,0,keyword search,2026-06-26T14:05:00.228985+00:00,no break greater than,False,unknown,2026-06-26T14:06:34.776511+00:00,ok,,,,,,2.0,keyword_stratified
82,https://bsky.app/profile/mdruker.app/post/3mjbedufges2p,at://did:plc:f6yekxxpke7gyas3d7qeipty/app.bsky.feed.post/3mjbedufges2p,bafyreieupq5odedjim6ddvj7utonjs73jdpjwmgbjamwzh7iasi54ab5tq,mdruker.app,did:plc:f6yekxxpke7gyas3d7qeipty,2026-04-12T03:01:04.070Z,"Also a plug for @stechlab-labels.bsky.social - if you subscribe to this labeler, you’ll get those handy labels showing mass unfollows, which are usually a solid indicator of odd activity and should give you some skepticism about the account",reply,at://did:plc:f6yekxxpke7gyas3d7qeipty/app.bsky.feed.post/3mjbdkfnask2p,at://did:plc:f6yekxxpke7gyas3d7qeipty/app.bsky.feed.post/3mjbdbwln5c2p,en,5,1,0,0,official mention,2026-06-26T14:05:00.228985+00:00,stechlab-labels.bsky.social,False,en,2026-06-26T14:06:34.776511+00:00,ok,,,,,,10.0,keyword_stratified
